score	n	ineditismo	poder	familias	datasets_sugeridos
1.000	2	1.00	6054	educacao+saneamento_agua	br_inep_saeb, br_ana_outorgas
1.000	2	1.00	5572	desmatamento_clima+educacao	br_inpe_sisam, br_inep_saeb
1.000	2	1.00	5570	conectividade+saude_producao	br_anatel_banda_larga_fixa, br_ms_cnes
1.000	2	1.00	5570	conectividade+transferencia_renda	br_anatel_banda_larga_fixa, br_mc_indicadores
1.000	2	1.00	5570	desmatamento_clima+fiscal_municipal	br_inpe_sisam, br_rf_arrecadacao
1.000	2	1.00	5570	desmatamento_clima+politica	br_inpe_sisam, br_tse_eleicoes
1.000	2	1.00	5570	desmatamento_clima+transferencia_renda	br_inpe_sisam, br_mc_indicadores
1.000	2	1.00	5570	politica+saneamento_agua	br_tse_eleicoes, br_ana_outorgas
1.000	2	1.00	5570	saneamento_agua+saude_producao	br_ana_outorgas, br_ms_cnes
1.000	2	1.00	5570	saneamento_agua+transferencia_renda	br_ana_outorgas, br_mc_indicadores
1.000	2	1.00	5567	agropecuaria+conectividade	br_ibge_ppm, br_anatel_banda_larga_fixa
1.000	2	1.00	5567	agropecuaria+demografia_censo	br_ibge_ppm, br_ibge_censo2022_raca
1.000	2	1.00	5567	agropecuaria+educacao	br_ibge_ppm, br_inep_saeb
1.000	2	1.00	5567	agropecuaria+mortalidade	br_ibge_ppm, br_ms_sim
1.000	2	1.00	5567	agropecuaria+politica	br_ibge_ppm, br_tse_eleicoes
1.000	2	1.00	5567	agropecuaria+saude_producao	br_ibge_ppm, br_ms_cnes
1.000	2	1.00	5567	agropecuaria+transferencia_renda	br_ibge_ppm, br_mc_indicadores
1.000	3	1.00	5567	agropecuaria+conectividade+saude_producao	br_ibge_ppm, br_anatel_banda_larga_fixa, br_ms_cnes
1.000	3	1.00	5567	agropecuaria+conectividade+transferencia_renda	br_ibge_ppm, br_anatel_banda_larga_fixa, br_mc_indicadores
1.000	2	1.00	5559	conectividade+fundiario	br_anatel_banda_larga_fixa, br_sfb_sicar
1.000	2	1.00	5559	educacao+fundiario	br_inep_saeb, br_sfb_sicar
1.000	2	1.00	5559	fiscal_municipal+fundiario	br_rf_arrecadacao, br_sfb_sicar
1.000	2	1.00	5559	fundiario+mortalidade	br_sfb_sicar, br_ms_sim
1.000	2	1.00	5559	fundiario+politica	br_sfb_sicar, br_tse_eleicoes
1.000	2	1.00	5559	fundiario+saneamento_agua	br_sfb_sicar, br_ana_outorgas
1.000	2	1.00	5559	fundiario+transferencia_renda	br_sfb_sicar, br_mc_indicadores
1.000	3	1.00	5559	conectividade+fundiario+transferencia_renda	br_anatel_banda_larga_fixa, br_sfb_sicar, br_mc_indicadores
1.000	3	1.00	5559	educacao+fundiario+saneamento_agua	br_inep_saeb, br_sfb_sicar, br_ana_outorgas
1.000	3	1.00	5559	fundiario+politica+saneamento_agua	br_sfb_sicar, br_tse_eleicoes, br_ana_outorgas
1.000	3	1.00	5559	fundiario+saneamento_agua+transferencia_renda	br_sfb_sicar, br_ana_outorgas, br_mc_indicadores
1.000	2	1.00	5544	agropecuaria+mobilidade	br_ibge_ppm, br_mobilidados_indicadores
1.000	2	1.00	5544	conectividade+mobilidade	br_anatel_banda_larga_fixa, br_mobilidados_indicadores
1.000	2	1.00	5544	desmatamento_clima+mobilidade	br_inpe_sisam, br_mobilidados_indicadores
1.000	2	1.00	5544	educacao+mobilidade	br_inep_saeb, br_mobilidados_indicadores
1.000	2	1.00	5544	fiscal_municipal+mobilidade	br_rf_arrecadacao, br_mobilidados_indicadores
1.000	2	1.00	5544	fundiario+mobilidade	br_sfb_sicar, br_mobilidados_indicadores
1.000	2	1.00	5544	mobilidade+politica	br_mobilidados_indicadores, br_tse_eleicoes
1.000	2	1.00	5544	mobilidade+saneamento_agua	br_mobilidados_indicadores, br_ana_outorgas
1.000	2	1.00	5544	mobilidade+saude_producao	br_mobilidados_indicadores, br_ms_cnes
1.000	2	1.00	5544	mobilidade+transferencia_renda	br_mobilidados_indicadores, br_mc_indicadores
1.000	3	1.00	5544	agropecuaria+conectividade+mobilidade	br_ibge_ppm, br_anatel_banda_larga_fixa, br_mobilidados_indicadores
1.000	3	1.00	5544	agropecuaria+educacao+mobilidade	br_ibge_ppm, br_inep_saeb, br_mobilidados_indicadores
1.000	3	1.00	5544	agropecuaria+mobilidade+politica	br_ibge_ppm, br_mobilidados_indicadores, br_tse_eleicoes
1.000	3	1.00	5544	agropecuaria+mobilidade+saude_producao	br_ibge_ppm, br_mobilidados_indicadores, br_ms_cnes
1.000	3	1.00	5544	agropecuaria+mobilidade+transferencia_renda	br_ibge_ppm, br_mobilidados_indicadores, br_mc_indicadores
1.000	3	1.00	5544	conectividade+fundiario+mobilidade	br_anatel_banda_larga_fixa, br_sfb_sicar, br_mobilidados_indicadores
1.000	3	1.00	5544	conectividade+mobilidade+saude_producao	br_anatel_banda_larga_fixa, br_mobilidados_indicadores, br_ms_cnes
1.000	3	1.00	5544	conectividade+mobilidade+transferencia_renda	br_anatel_banda_larga_fixa, br_mobilidados_indicadores, br_mc_indicadores
1.000	3	1.00	5544	desmatamento_clima+educacao+mobilidade	br_inpe_sisam, br_inep_saeb, br_mobilidados_indicadores
1.000	3	1.00	5544	desmatamento_clima+fiscal_municipal+mobilidade	br_inpe_sisam, br_rf_arrecadacao, br_mobilidados_indicadores
1.000	3	1.00	5544	desmatamento_clima+mobilidade+politica	br_inpe_sisam, br_mobilidados_indicadores, br_tse_eleicoes
1.000	3	1.00	5544	desmatamento_clima+mobilidade+transferencia_renda	br_inpe_sisam, br_mobilidados_indicadores, br_mc_indicadores
1.000	3	1.00	5544	educacao+fundiario+mobilidade	br_inep_saeb, br_sfb_sicar, br_mobilidados_indicadores
1.000	3	1.00	5544	educacao+mobilidade+saneamento_agua	br_inep_saeb, br_mobilidados_indicadores, br_ana_outorgas
1.000	3	1.00	5544	fiscal_municipal+fundiario+mobilidade	br_rf_arrecadacao, br_sfb_sicar, br_mobilidados_indicadores
1.000	3	1.00	5544	fundiario+mobilidade+politica	br_sfb_sicar, br_mobilidados_indicadores, br_tse_eleicoes
1.000	3	1.00	5544	fundiario+mobilidade+saneamento_agua	br_sfb_sicar, br_mobilidados_indicadores, br_ana_outorgas
1.000	3	1.00	5544	fundiario+mobilidade+transferencia_renda	br_sfb_sicar, br_mobilidados_indicadores, br_mc_indicadores
1.000	3	1.00	5544	mobilidade+politica+saneamento_agua	br_mobilidados_indicadores, br_tse_eleicoes, br_ana_outorgas
1.000	3	1.00	5544	mobilidade+saneamento_agua+saude_producao	br_mobilidados_indicadores, br_ana_outorgas, br_ms_cnes
1.000	3	1.00	5544	mobilidade+saneamento_agua+transferencia_renda	br_mobilidados_indicadores, br_ana_outorgas, br_mc_indicadores
1.000	2	1.00	5522	credito_financeiro+mobilidade	br_bcb_sicor, br_mobilidados_indicadores
1.000	2	1.00	5522	credito_financeiro+mortalidade	br_bcb_sicor, br_ms_sim
1.000	2	1.00	5522	credito_financeiro+politica	br_bcb_sicor, br_tse_eleicoes
1.000	2	1.00	5522	credito_financeiro+saneamento_agua	br_bcb_sicor, br_ana_outorgas
1.000	3	1.00	5522	credito_financeiro+mobilidade+politica	br_bcb_sicor, br_mobilidados_indicadores, br_tse_eleicoes
1.000	3	1.00	5522	credito_financeiro+mobilidade+saneamento_agua	br_bcb_sicor, br_mobilidados_indicadores, br_ana_outorgas
1.000	3	1.00	5522	credito_financeiro+politica+saneamento_agua	br_bcb_sicor, br_tse_eleicoes, br_ana_outorgas
1.000	2	1.00	5487	agropecuaria+vigilancia_sinan	br_ibge_ppm, br_ms_sinan_violencia
1.000	2	1.00	5487	conectividade+vigilancia_sinan	br_anatel_banda_larga_fixa, br_ms_sinan_violencia
1.000	2	1.00	5487	fiscal_municipal+vigilancia_sinan	br_rf_arrecadacao, br_ms_sinan_violencia
1.000	2	1.00	5487	fundiario+vigilancia_sinan	br_sfb_sicar, br_ms_sinan_violencia
1.000	2	1.00	5487	mobilidade+vigilancia_sinan	br_mobilidados_indicadores, br_ms_sinan_violencia
1.000	2	1.00	5487	politica+vigilancia_sinan	br_tse_eleicoes, br_ms_sinan_violencia
