n	familias	poder_min_municipios	coberta_por
2	educacao+saneamento_agua	6054	
2	educacao+mortalidade	5626	P28-2
2	mortalidade+saneamento_agua	5626	P42-5
2	desmatamento_clima+educacao	5572	
2	desmatamento_clima+mortalidade	5572	P22-2
2	desmatamento_clima+saneamento_agua	5572	P42-1
2	demografia_censo+desmatamento_clima	5571	P22-2
2	demografia_censo+educacao	5571	P02-5
2	demografia_censo+mortalidade	5571	P01-1
2	demografia_censo+saneamento_agua	5571	P11-2
2	conectividade+demografia_censo	5570	P32-4
2	conectividade+desmatamento_clima	5570	P61-4
2	conectividade+educacao	5570	P11-3
2	conectividade+fiscal_municipal	5570	P11-1
2	conectividade+mortalidade	5570	H?
2	conectividade+politica	5570	P77-2
2	conectividade+saneamento_agua	5570	P11-1
2	conectividade+saude_producao	5570	
2	conectividade+trabalho_empresa	5570	P11-3
2	conectividade+transferencia_renda	5570	
2	demografia_censo+fiscal_municipal	5570	P08-1
2	demografia_censo+politica	5570	P05-4
2	demografia_censo+saude_producao	5570	P09-2
2	demografia_censo+trabalho_empresa	5570	P01-1
2	demografia_censo+transferencia_renda	5570	P03-5
2	desmatamento_clima+fiscal_municipal	5570	
2	desmatamento_clima+politica	5570	
2	desmatamento_clima+saude_producao	5570	H?
2	desmatamento_clima+trabalho_empresa	5570	P10-1
2	desmatamento_clima+transferencia_renda	5570	
2	educacao+fiscal_municipal	5570	H?
2	educacao+politica	5570	P38-5
2	educacao+saude_producao	5570	H?
2	educacao+trabalho_empresa	5570	P02-2
2	educacao+transferencia_renda	5570	HH44
2	fiscal_municipal+mortalidade	5570	P08-4
2	fiscal_municipal+politica	5570	H?
2	fiscal_municipal+saneamento_agua	5570	P11-1
2	fiscal_municipal+saude_producao	5570	H?
2	fiscal_municipal+trabalho_empresa	5570	P16-1
2	fiscal_municipal+transferencia_renda	5570	P08-1
2	mortalidade+politica	5570	P27-5
2	mortalidade+saude_producao	5570	P03-2
2	mortalidade+trabalho_empresa	5570	P01-1
2	mortalidade+transferencia_renda	5570	P03-3
2	politica+saneamento_agua	5570	
2	politica+saude_producao	5570	P27-2
2	politica+trabalho_empresa	5570	P05-1
2	politica+transferencia_renda	5570	H?
2	saneamento_agua+saude_producao	5570	
2	saneamento_agua+trabalho_empresa	5570	P11-4
2	saneamento_agua+transferencia_renda	5570	
2	saude_producao+trabalho_empresa	5570	P09-4
2	saude_producao+transferencia_renda	5570	P03-1
2	trabalho_empresa+transferencia_renda	5570	P03-3
2	agropecuaria+conectividade	5567	
2	agropecuaria+demografia_censo	5567	
2	agropecuaria+desmatamento_clima	5567	P10-2
2	agropecuaria+educacao	5567	
2	agropecuaria+fiscal_municipal	5567	P16-3
2	agropecuaria+mortalidade	5567	
2	agropecuaria+politica	5567	
2	agropecuaria+saneamento_agua	5567	P44-5
2	agropecuaria+saude_producao	5567	
2	agropecuaria+trabalho_empresa	5567	P07-1
2	agropecuaria+transferencia_renda	5567	
2	agropecuaria+fundiario	5559	P10-2
2	conectividade+fundiario	5559	
2	demografia_censo+fundiario	5559	H?
2	desmatamento_clima+fundiario	5559	P07-5
2	educacao+fundiario	5559	
2	fiscal_municipal+fundiario	5559	
2	fundiario+mortalidade	5559	
2	fundiario+politica	5559	
2	fundiario+saneamento_agua	5559	
2	fundiario+saude_producao	5559	H?
2	fundiario+trabalho_empresa	5559	P07-3
2	fundiario+transferencia_renda	5559	
2	agropecuaria+mobilidade	5544	
2	conectividade+mobilidade	5544	
2	demografia_censo+mobilidade	5544	P35-1
2	desmatamento_clima+mobilidade	5544	
2	educacao+mobilidade	5544	
2	fiscal_municipal+mobilidade	5544	
2	fundiario+mobilidade	5544	
2	mobilidade+mortalidade	5544	P35-3
2	mobilidade+politica	5544	
2	mobilidade+saneamento_agua	5544	
2	mobilidade+saude_producao	5544	
2	mobilidade+trabalho_empresa	5544	P35-1
2	mobilidade+transferencia_renda	5544	
2	agropecuaria+credito_financeiro	5522	P07-1
2	conectividade+credito_financeiro	5522	P19-1
2	credito_financeiro+demografia_censo	5522	P07-2
2	credito_financeiro+desmatamento_clima	5522	P07-5
2	credito_financeiro+educacao	5522	AE2
2	credito_financeiro+fiscal_municipal	5522	P25-2
2	credito_financeiro+fundiario	5522	P07-3
2	credito_financeiro+mobilidade	5522	
2	credito_financeiro+mortalidade	5522	
2	credito_financeiro+politica	5522	
2	credito_financeiro+saneamento_agua	5522	
2	credito_financeiro+saude_producao	5522	H?
2	credito_financeiro+trabalho_empresa	5522	P07-1
2	credito_financeiro+transferencia_renda	5522	P25-2
2	agropecuaria+vigilancia_sinan	5487	
2	conectividade+vigilancia_sinan	5487	
2	credito_financeiro+vigilancia_sinan	5487	P69-4
2	demografia_censo+vigilancia_sinan	5487	P09-1
2	desmatamento_clima+vigilancia_sinan	5487	P71-2
2	educacao+vigilancia_sinan	5487	P28-1
2	fiscal_municipal+vigilancia_sinan	5487	
2	fundiario+vigilancia_sinan	5487	
2	mobilidade+vigilancia_sinan	5487	
2	mortalidade+vigilancia_sinan	5487	P23-2
2	politica+vigilancia_sinan	5487	
2	saneamento_agua+vigilancia_sinan	5487	P71-4
2	saude_producao+vigilancia_sinan	5487	P23-1
2	trabalho_empresa+vigilancia_sinan	5487	P09-1
2	transferencia_renda+vigilancia_sinan	5487	P65-5
2	agropecuaria+fiscalizacao_ambiental	5475	P66-5
2	conectividade+fiscalizacao_ambiental	5475	P72-2
2	credito_financeiro+fiscalizacao_ambiental	5475	P66-5
2	demografia_censo+fiscalizacao_ambiental	5475	P72-1
2	desmatamento_clima+fiscalizacao_ambiental	5475	P42-3
2	educacao+fiscalizacao_ambiental	5475	
2	fiscal_municipal+fiscalizacao_ambiental	5475	
2	fiscalizacao_ambiental+fundiario	5475	P59-2
2	fiscalizacao_ambiental+mobilidade	5475	
2	fiscalizacao_ambiental+mortalidade	5475	
2	fiscalizacao_ambiental+politica	5475	P74-4
2	fiscalizacao_ambiental+saneamento_agua	5475	
2	fiscalizacao_ambiental+saude_producao	5475	H?
2	fiscalizacao_ambiental+trabalho_empresa	5475	P59-3
2	fiscalizacao_ambiental+transferencia_renda	5475	P72-5
2	fiscalizacao_ambiental+vigilancia_sinan	5475	
2	agropecuaria+compras_publicas	5419	
2	compras_publicas+conectividade	5419	P68-4
2	compras_publicas+credito_financeiro	5419	P67-3
2	compras_publicas+demografia_censo	5419	P15-5
2	compras_publicas+desmatamento_clima	5419	H?
2	compras_publicas+educacao	5419	H?
2	compras_publicas+fiscal_municipal	5419	P16-4
2	compras_publicas+fiscalizacao_ambiental	5419	P72-3
2	compras_publicas+fundiario	5419	H?
2	compras_publicas+mobilidade	5419	
2	compras_publicas+mortalidade	5419	P77-2
2	compras_publicas+politica	5419	P05-3
2	compras_publicas+saneamento_agua	5419	P68-4
2	compras_publicas+saude_producao	5419	P77-2
2	compras_publicas+trabalho_empresa	5419	P05-3
2	compras_publicas+transferencia_renda	5419	H?
2	compras_publicas+vigilancia_sinan	5419	
2	agropecuaria+natalidade	4691	
2	compras_publicas+natalidade	4691	H?
2	conectividade+natalidade	4691	
2	credito_financeiro+natalidade	4691	
2	demografia_censo+natalidade	4691	P03-5
2	desmatamento_clima+natalidade	4691	
2	educacao+natalidade	4691	P77-4
2	fiscal_municipal+natalidade	4691	H?
2	fiscalizacao_ambiental+natalidade	4691	
2	fundiario+natalidade	4691	
2	mobilidade+natalidade	4691	
2	mortalidade+natalidade	4691	P03-2
2	natalidade+politica	4691	H?
2	natalidade+saneamento_agua	4691	
2	natalidade+saude_producao	4691	P03-1
2	natalidade+trabalho_empresa	4691	P03-3
2	natalidade+transferencia_renda	4691	P03-1
2	natalidade+vigilancia_sinan	4691	P23-5
2	agropecuaria+mineracao_energia	3985	
2	compras_publicas+mineracao_energia	3985	P58-3
2	conectividade+mineracao_energia	3985	P61-4
2	credito_financeiro+mineracao_energia	3985	P61-3
2	demografia_censo+mineracao_energia	3985	P51-1
2	desmatamento_clima+mineracao_energia	3985	P59-2
2	educacao+mineracao_energia	3985	H?
2	fiscal_municipal+mineracao_energia	3985	P58-3
2	fiscalizacao_ambiental+mineracao_energia	3985	P59-2
2	fundiario+mineracao_energia	3985	P59-2
2	mineracao_energia+mobilidade	3985	P51-2
2	mineracao_energia+mortalidade	3985	P58-2
2	mineracao_energia+natalidade	3985	H?
2	mineracao_energia+politica	3985	H?
2	mineracao_energia+saneamento_agua	3985	
2	mineracao_energia+saude_producao	3985	H?
2	mineracao_energia+trabalho_empresa	3985	P51-1
2	mineracao_energia+transferencia_renda	3985	P58-1
2	mineracao_energia+vigilancia_sinan	3985	P71-2
2	agropecuaria+sancao_integridade	3314	
2	compras_publicas+sancao_integridade	3314	P37-1
2	conectividade+sancao_integridade	3314	
2	credito_financeiro+sancao_integridade	3314	P45-2
2	demografia_censo+sancao_integridade	3314	P63-1
2	desmatamento_clima+sancao_integridade	3314	P63-2
2	educacao+sancao_integridade	3314	H?
2	fiscal_municipal+sancao_integridade	3314	P37-3
2	fiscalizacao_ambiental+sancao_integridade	3314	P63-2
2	fundiario+sancao_integridade	3314	
2	mineracao_energia+sancao_integridade	3314	P63-2
2	mobilidade+sancao_integridade	3314	
2	mortalidade+sancao_integridade	3314	
2	natalidade+sancao_integridade	3314	
2	politica+sancao_integridade	3314	P74-5
2	sancao_integridade+saneamento_agua	3314	
2	sancao_integridade+saude_producao	3314	
2	sancao_integridade+trabalho_empresa	3314	P37-1
2	sancao_integridade+transferencia_renda	3314	H?
2	sancao_integridade+vigilancia_sinan	3314	
2	agropecuaria+comercio_exterior	2696	P17-3
2	comercio_exterior+compras_publicas	2696	
2	comercio_exterior+conectividade	2696	
2	comercio_exterior+credito_financeiro	2696	
2	comercio_exterior+demografia_censo	2696	P18-5
2	comercio_exterior+desmatamento_clima	2696	P17-3
2	comercio_exterior+educacao	2696	
2	comercio_exterior+fiscal_municipal	2696	
2	comercio_exterior+fiscalizacao_ambiental	2696	
2	comercio_exterior+fundiario	2696	P18-2
2	comercio_exterior+mineracao_energia	2696	
2	comercio_exterior+mobilidade	2696	
2	comercio_exterior+mortalidade	2696	
2	comercio_exterior+natalidade	2696	
2	comercio_exterior+politica	2696	
2	comercio_exterior+sancao_integridade	2696	
2	comercio_exterior+saneamento_agua	2696	
2	comercio_exterior+saude_producao	2696	
2	comercio_exterior+trabalho_empresa	2696	P18-1
2	comercio_exterior+transferencia_renda	2696	P77-1
2	comercio_exterior+vigilancia_sinan	2696	
3	educacao+mortalidade+saneamento_agua	5626	
3	desmatamento_clima+educacao+mortalidade	5572	
3	desmatamento_clima+educacao+saneamento_agua	5572	
3	desmatamento_clima+mortalidade+saneamento_agua	5572	P42-5
